DATE,T10Y2Y,HTRUCKSSAAR,HOUST,PERMIT,BAMLH0A0HYM2,TEMPHELPS,ICSA,UMCSENT,WALCL,RRPONTSYD,M2SL,MANEMP
2015-01-01,,0.435,1085.0,1049.0,,2838.3,,98.1,,,11787.8,12265.0
2015-01-02,1.46,0.435,1085.0,1049.0,5.08,2838.3,,98.1,,42.186,11787.8,12265.0
2015-01-03,1.46,0.435,1085.0,1049.0,5.08,2838.3,294000.0,98.1,,42.186,11787.8,12265.0
2015-01-05,1.36,0.435,1085.0,1049.0,5.21,2838.3,294000.0,98.1,,164.177,11787.8,12265.0
2015-01-06,1.32,0.435,1085.0,1049.0,5.37,2838.3,294000.0,98.1,,149.885,11787.8,12265.0
2015-01-07,1.34,0.435,1085.0,1049.0,5.31,2838.3,294000.0,98.1,4499524.0,143.749,11787.8,12265.0
2015-01-08,1.41,0.435,1085.0,1049.0,5.17,2838.3,294000.0,98.1,4499524.0,124.293,11787.8,12265.0
2015-01-09,1.39,0.435,1085.0,1049.0,5.2,2838.3,294000.0,98.1,4499524.0,116.195,11787.8,12265.0
2015-01-10,1.39,0.435,1085.0,1049.0,5.2,2838.3,304000.0,98.1,4499524.0,116.195,11787.8,12265.0
2015-01-12,1.36,0.435,1085.0,1049.0,5.27,2838.3,304000.0,98.1,4499524.0,118.125,11787.8,12265.0
2015-01-13,1.37,0.435,1085.0,1049.0,5.28,2838.3,304000.0,98.1,4499524.0,107.316,11787.8,12265.0
2015-01-14,1.35,0.435,1085.0,1049.0,5.39,2838.3,304000.0,98.1,4516077.0,95.4,11787.8,12265.0
2015-01-15,1.33,0.435,1085.0,1049.0,5.42,2838.3,304000.0,98.1,4516077.0,96.517,11787.8,12265.0
2015-01-16,1.34,0.435,1085.0,1049.0,5.42,2838.3,304000.0,98.1,4516077.0,135.836,11787.8,12265.0
2015-01-17,1.34,0.435,1085.0,1049.0,5.42,2838.3,298000.0,98.1,4516077.0,135.836,11787.8,12265.0
2015-01-19,1.34,0.435,1085.0,1049.0,5.39,2838.3,298000.0,98.1,4516077.0,135.836,11787.8,12265.0
2015-01-20,1.29,0.435,1085.0,1049.0,5.39,2838.3,298000.0,98.1,4516077.0,147.499,11787.8,12265.0
2015-01-21,1.34,0.435,1085.0,1049.0,5.36,2838.3,298000.0,98.1,4512936.0,167.769,11787.8,12265.0
2015-01-22,1.37,0.435,1085.0,1049.0,5.27,2838.3,298000.0,98.1,4512936.0,168.182,11787.8,12265.0
2015-01-23,1.29,0.435,1085.0,1049.0,5.3,2838.3,298000.0,98.1,4512936.0,129.836,11787.8,12265.0
2015-01-24,1.29,0.435,1085.0,1049.0,5.3,2838.3,261000.0,98.1,4512936.0,129.836,11787.8,12265.0
2015-01-26,1.29,0.435,1085.0,1049.0,5.26,2838.3,261000.0,98.1,4512936.0,132.698,11787.8,12265.0
2015-01-27,1.29,0.435,1085.0,1049.0,5.29,2838.3,261000.0,98.1,4512936.0,136.677,11787.8,12265.0
2015-01-28,1.23,0.435,1085.0,1049.0,5.31,2838.3,261000.0,98.1,4500064.0,163.553,11787.8,12265.0
2015-01-29,1.26,0.435,1085.0,1049.0,5.28,2838.3,261000.0,98.1,4500064.0,148.784,11787.8,12265.0
2015-01-30,1.21,0.435,1085.0,1049.0,5.37,2838.3,261000.0,98.1,4500064.0,190.842,11787.8,12265.0
2015-01-31,1.21,0.435,1085.0,1049.0,5.26,2838.3,281000.0,98.1,4500064.0,190.842,11787.8,12265.0
2015-02-01,1.21,0.43,886.0,1127.0,5.26,2839.1,281000.0,95.4,4500064.0,190.842,11904.7,12275.0
2015-02-02,1.19,0.43,886.0,1127.0,5.26,2839.1,281000.0,95.4,4500064.0,132.913,11904.7,12275.0
2015-02-03,1.27,0.43,886.0,1127.0,5.11,2839.1,281000.0,95.4,4500064.0,142.006,11904.7,12275.0
2015-02-04,1.29,0.43,886.0,1127.0,5.05,2839.1,281000.0,95.4,4500348.0,145.65,11904.7,12275.0
2015-02-05,1.31,0.43,886.0,1127.0,4.99,2839.1,281000.0,95.4,4500348.0,124.667,11904.7,12275.0
2015-02-06,1.3,0.43,886.0,1127.0,4.78,2839.1,281000.0,95.4,4500348.0,121.983,11904.7,12275.0
2015-02-07,1.3,0.43,886.0,1127.0,4.78,2839.1,298000.0,95.4,4500348.0,121.983,11904.7,12275.0
2015-02-09,1.31,0.43,886.0,1127.0,4.8,2839.1,298000.0,95.4,4500348.0,118.986,11904.7,12275.0
2015-02-10,1.34,0.43,886.0,1127.0,4.75,2839.1,298000.0,95.4,4500348.0,122.277,11904.7,12275.0
2015-02-11,1.33,0.43,886.0,1127.0,4.76,2839.1,298000.0,95.4,4501685.0,126.752,11904.7,12275.0
2015-02-12,1.38,0.43,886.0,1127.0,4.74,2839.1,298000.0,95.4,4501685.0,113.479,11904.7,12275.0
2015-02-13,1.36,0.43,886.0,1127.0,4.71,2839.1,298000.0,95.4,4501685.0,92.532,11904.7,12275.0
2015-02-14,1.36,0.43,886.0,1127.0,4.71,2839.1,285000.0,95.4,4501685.0,92.532,11904.7,12275.0
2015-02-16,1.36,0.43,886.0,1127.0,4.69,2839.1,285000.0,95.4,4501685.0,92.532,11904.7,12275.0
2015-02-17,1.44,0.43,886.0,1127.0,4.57,2839.1,285000.0,95.4,4501685.0,111.325,11904.7,12275.0
2015-02-18,1.45,0.43,886.0,1127.0,4.62,2839.1,285000.0,95.4,4496851.0,157.273,11904.7,12275.0
2015-02-19,1.44,0.43,886.0,1127.0,4.58,2839.1,285000.0,95.4,4496851.0,133.105,11904.7,12275.0
2015-02-20,1.46,0.43,886.0,1127.0,4.53,2839.1,285000.0,95.4,4496851.0,157.518,11904.7,12275.0
2015-02-21,1.46,0.43,886.0,1127.0,4.53,2839.1,305000.0,95.4,4496851.0,157.518,11904.7,12275.0
2015-02-23,1.42,0.43,886.0,1127.0,4.56,2839.1,305000.0,95.4,4496851.0,152.311,11904.7,12275.0
2015-02-24,1.39,0.43,886.0,1127.0,4.58,2839.1,305000.0,95.4,4496851.0,124.802,11904.7,12275.0
2015-02-25,1.35,0.43,886.0,1127.0,4.54,2839.1,305000.0,95.4,4486725.0,149.75,11904.7,12275.0
2015-02-26,1.37,0.43,886.0,1127.0,4.43,2839.1,305000.0,95.4,4486725.0,130.583,11904.7,12275.0
2015-02-27,1.37,0.43,886.0,1127.0,4.43,2839.1,305000.0,95.4,4486725.0,155.001,11904.7,12275.0
2015-02-28,1.37,0.43,886.0,1127.0,4.46,2839.1,317000.0,95.4,4486725.0,155.001,11904.7,12275.0
2015-03-01,1.37,0.436,960.0,1072.0,4.46,2842.5,317000.0,93.0,4486725.0,155.001,11902.8,12286.0
2015-03-02,1.42,0.436,960.0,1072.0,4.38,2842.5,317000.0,93.0,4486725.0,118.208,11902.8,12286.0
2015-03-03,1.44,0.436,960.0,1072.0,4.38,2842.5,317000.0,93.0,4486725.0,110.872,11902.8,12286.0
2015-03-04,1.46,0.436,960.0,1072.0,4.44,2842.5,317000.0,93.0,4487583.0,95.1,11902.8,12286.0
2015-03-05,1.46,0.436,960.0,1072.0,4.46,2842.5,317000.0,93.0,4487583.0,73.924,11902.8,12286.0
2015-03-06,1.51,0.436,960.0,1072.0,4.42,2842.5,317000.0,93.0,4487583.0,80.862,11902.8,12286.0
2015-03-07,1.51,0.436,960.0,1072.0,4.42,2842.5,293000.0,93.0,4487583.0,80.862,11902.8,12286.0
2015-03-09,1.5,0.436,960.0,1072.0,4.51,2842.5,293000.0,93.0,4487583.0,85.648,11902.8,12286.0
2015-03-10,1.44,0.436,960.0,1072.0,4.66,2842.5,293000.0,93.0,4487583.0,84.535,11902.8,12286.0
2015-03-11,1.41,0.436,960.0,1072.0,4.61,2842.5,293000.0,93.0,4489279.0,84.389,11902.8,12286.0
2015-03-12,1.43,0.436,960.0,1072.0,4.62,2842.5,293000.0,93.0,4489279.0,132.708,11902.8,12286.0
2015-03-13,1.45,0.436,960.0,1072.0,4.68,2842.5,293000.0,93.0,4489279.0,98.042,11902.8,12286.0
2015-03-14,1.45,0.436,960.0,1072.0,4.68,2842.5,290000.0,93.0,4489279.0,98.042,11902.8,12286.0
2015-03-16,1.44,0.436,960.0,1072.0,4.72,2842.5,290000.0,93.0,4489279.0,112.056,11902.8,12286.0
2015-03-17,1.36,0.436,960.0,1072.0,4.79,2842.5,290000.0,93.0,4489279.0,106.3,11902.8,12286.0
2015-03-18,1.36,0.436,960.0,1072.0,4.91,2842.5,290000.0,93.0,4495888.0,151.424,11902.8,12286.0
2015-03-19,1.35,0.436,960.0,1072.0,4.79,2842.5,290000.0,93.0,4495888.0,83.108,11902.8,12286.0
2015-03-20,1.33,0.436,960.0,1072.0,4.81,2842.5,290000.0,93.0,4495888.0,91.207,11902.8,12286.0
2015-03-21,1.33,0.436,960.0,1072.0,4.81,2842.5,284000.0,93.0,4495888.0,91.207,11902.8,12286.0
2015-03-23,1.32,0.436,960.0,1072.0,4.82,2842.5,284000.0,93.0,4495888.0,99.572,11902.8,12286.0
2015-03-24,1.3,0.436,960.0,1072.0,4.81,2842.5,284000.0,93.0,4495888.0,60.115,11902.8,12286.0
2015-03-25,1.34,0.436,960.0,1072.0,4.76,2842.5,284000.0,93.0,4480603.0,65.389,11902.8,12286.0
2015-03-26,1.4,0.436,960.0,1072.0,4.74,2842.5,284000.0,93.0,4480603.0,80.866,11902.8,12286.0
2015-03-27,1.37,0.436,960.0,1072.0,4.76,2842.5,284000.0,93.0,4480603.0,69.638,11902.8,12286.0
2015-03-28,1.37,0.436,960.0,1072.0,4.76,2842.5,269000.0,93.0,4480603.0,69.638,11902.8,12286.0
2015-03-30,1.38,0.436,960.0,1072.0,4.73,2842.5,269000.0,93.0,4480603.0,29.522,11902.8,12286.0
2015-03-31,1.38,0.436,960.0,1072.0,4.82,2842.5,269000.0,93.0,4480603.0,202.235,11902.8,12286.0
2015-04-01,1.32,0.444,1190.0,1166.0,4.86,2850.3,269000.0,95.9,4481799.0,31.623,11936.7,12291.0
2015-04-02,1.37,0.444,1190.0,1166.0,4.82,2850.3,269000.0,95.9,4481799.0,31.623,11936.7,12291.0
2015-04-03,1.36,0.444,1190.0,1166.0,4.82,2850.3,269000.0,95.9,4481799.0,31.623,11936.7,12291.0
2015-04-04,1.36,0.444,1190.0,1166.0,4.82,2850.3,282000.0,95.9,4481799.0,31.623,11936.7,12291.0
2015-04-06,1.41,0.444,1190.0,1166.0,4.8,2850.3,282000.0,95.9,4481799.0,119.369,11936.7,12291.0
2015-04-07,1.37,0.444,1190.0,1166.0,4.72,2850.3,282000.0,95.9,4481799.0,125.88,11936.7,12291.0
